id,positive ratings,negative ratings,total reviews,rating percentage,category,first_release_date,platforms,genres,aggregated_rating,aggregated_rating_count,game_engines,game_modes,player_perspectives
Black Myth: Wukong,"888,106","34,930","923,036",95.48%,main_game,1724112000,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S']","['Role-playing (RPG)', 'Adventure']",88.0,5.0,['Unreal Engine 5'],['Single player'],['Third person']
东方夜雀食堂 - Touhou Mystia's Izakaya,"23,659",540,"24,199",95.48%,main_game,1633046400,"['PC (Microsoft Windows)', 'Mac', 'Nintendo Switch']","['Music', 'Role-playing (RPG)', 'Simulator', 'Indie']",,,,['Single player'],['Bird view / Isometric']
Placid Plastic Duck Simulator,"14,843",284,"15,127",95.47%,main_game,1657065600,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Music', 'Puzzle', 'Simulator']",,,,"['Single player', 'Multiplayer', 'Co-operative']","['Third person', 'Bird view / Isometric']"
Project Kat - Paper Lily Prologue,"4,884",35,"4,919",95.47%,main_game,1584316800,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Puzzle', 'Role-playing (RPG)']",,,['RPG Maker'],['Single player'],['Bird view / Isometric']
VA-11 Hall-A: Cyberpunk Bartender Action,"33,967",873,"34,840",95.46%,main_game,1466467200,"['PC (Microsoft Windows)', 'PlayStation Vita', 'PlayStation 4', 'Linux', 'iOS', 'Mac', 'Nintendo Switch']","['Simulator', 'Adventure', 'Indie', 'Visual Novel']",83.88888888888889,9.0,['Game Maker'],['Single player'],['Text']
There Is No Game: Wrong Dimension,"21,724",490,"22,214",95.45%,main_game,1596672000,"['PC (Microsoft Windows)', 'Android', 'iOS', 'Mac', 'Nintendo Switch']","['Point-and-click', 'Puzzle', 'Adventure', 'Indie']",80.0,1.0,,['Single player'],
CLANNAD,"8,914",128,"9,042",95.45%,main_game,1275523200,"['PC (Microsoft Windows)', 'PlayStation Portable', 'Android', 'Nintendo Switch']","['Adventure', 'Visual Novel']",,,,['Single player'],"['First person', 'Text']"
Persona 4 Golden,"70,262","2,128","72,390",95.44%,pack,1706832000,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One']","['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure']",,,,['Single player'],['Third person']
Bomb Rush Cyberfunk,"11,180",190,"11,370",95.42%,main_game,1692316800,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Platform', 'Role-playing (RPG)', 'Sport', 'Adventure', 'Indie']",83.0,3.0,['Unity'],['Single player'],['Third person']
Baba Is You,"20,247",457,"20,704",95.39%,main_game,1654387200,['PC (Microsoft Windows)'],['Puzzle'],,,,['Single player'],['Bird view / Isometric']
Oxygen Not Included,"115,767","3,866","119,633",95.38%,main_game,1564444800,"['PC (Microsoft Windows)', 'Linux', 'Mac']","['Simulator', 'Strategy', 'Indie']",,,,['Single player'],['Side view']
One Finger Death Punch,"15,904",336,"16,240",95.34%,main_game,1377993600,"['PC (Microsoft Windows)', 'Xbox 360', 'Android']","['Fighting', ""Hack and slash/Beat 'em up"", 'Indie', 'Arcade']",90.0,2.0,['Microsoft XNA'],['Single player'],['Side view']
PowerWash Simulator,"45,259","1,309","46,568",95.33%,main_game,1698883200,"['Meta Quest 2', 'Meta Quest 3']","['Simulator', 'Indie']",90.0,1.0,['Unity'],"['Single player', 'Co-operative']","['First person', 'Virtual Reality']"
Finding Paradise,"17,446",384,"17,830",95.33%,main_game,1513209600,"['PC (Microsoft Windows)', 'Android', 'Linux', 'iOS', 'Mac', 'Nintendo Switch']","['Point-and-click', 'Puzzle', 'Role-playing (RPG)', 'Adventure', 'Indie', 'Arcade']",93.0,2.0,['RPG Maker XP'],['Single player'],['Bird view / Isometric']
The Witcher 3: Wild Hunt,"767,446","31,333","798,779",95.31%,bundle,1540512000,"['PlayStation 4', 'Xbox One']","['Role-playing (RPG)', 'Adventure']",,,,,
Doki Doki Literature Club,"195,628","7,126","202,754",95.31%,expanded_game,1625011200,"['PC (Microsoft Windows)', 'PlayStation 5', 'PlayStation 4', 'Xbox One', 'Mac', 'Nintendo Switch']","['Role-playing (RPG)', 'Simulator', 'Adventure', 'Indie', 'Visual Novel']",82.5,2.0,['Unity'],['Single player'],['Text']
Hi-Fi RUSH,"31,011",828,"31,839",95.31%,main_game,1674604800,"['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S']","['Music', 'Platform', ""Hack and slash/Beat 'em up"", 'Adventure']",86.16666666666667,11.0,['Unreal Engine 4'],['Single player'],['Third person']
The Room Two,"18,454",420,"18,874",95.31%,main_game,1386806400,"['PC (Microsoft Windows)', 'Android', 'iOS', 'Nintendo Switch']","['Point-and-click', 'Puzzle', 'Indie']",80.75,5.0,['Unity'],['Single player'],['First person']
Don't Starve,"104,170","3,537","107,707",95.29%,main_game,1366675200,"['PC (Microsoft Windows)', 'PlayStation 4', 'Xbox One', 'Linux', 'Mac', 'Nintendo Switch']","['Simulator', 'Adventure', 'Indie']",78.57142857142857,8.0,,['Single player'],['Bird view / Isometric']
SANABI,"29,047",769,"29,816",95.29%,main_game,1699488000,"['PC (Microsoft Windows)', 'Nintendo Switch']","['Platform', 'Adventure', 'Indie']",95.0,2.0,['Unity'],['Single player'],['Side view']
Sabbat of the Witch,"6,302",78,"6,380",95.29%,main_game,,['PC (Microsoft Windows)'],"['Adventure', 'Casual', 'Simulation', 'Visual Novel']",,,,['Single player'],
Fields of Mistria,"9,526",163,"9,689",95.27%,main_game,1722816000,['PC (Microsoft Windows)'],"['Role-playing (RPG)', 'Simulator', 'Indie']",,,,['Single player'],['Bird view / Isometric']
Ori and the Will of the Wisps,"126,264","4,443","130,707",95.26%,main_game,1583798400,"['PC (Microsoft Windows)', 'Xbox Series X|S', 'Xbox One', 'Nintendo Switch']","['Platform', 'Adventure']",90.75,16.0,['Unity'],['Single player'],['Side view']
