rank,name,positive ratings,negative ratings,total reviews,rating percentage
900.,The House in Fata Morgana: A Requiem for Innocence,"1,139",29,"1,168",91.85%
901.,Aimlabs,"108,757","8,028","116,785",91.84%
902.,Otaku's Adventure,"7,613",415,"8,028",91.84%
903.,Zuma Deluxe,"4,383",210,"4,593",91.84%
904.,Magical Girl Celesphonia,"2,434",96,"2,530",91.84%
905.,Fallout 2,"13,819",836,"14,655",91.83%
906.,Long Live The Queen,"6,617",351,"6,968",91.83%
907.,Windowkill,"1,839",64,"1,903",91.83%
908.,Christmas Tina -泡沫冬景-,"4,053",191,"4,244",91.82%
909.,A YEAR OF SPRINGS,666,9,675,91.82%
910.,Moss: Book II,502,3,505,91.82%
911.,Night in the Woods,"16,542","1,033","17,575",91.80%
912.,Teenage Mutant Ninja Turtles: Shredder's Revenge,"12,403",742,"13,145",91.80%
913.,The Thrill of the Fight,"3,670",169,"3,839",91.80%
914.,How Fish Is Made,"3,320",148,"3,468",91.80%
915.,Serious Sam Classic: The First Encounter,"2,873",122,"2,995",91.80%
916.,Trick & Treat,"2,214",85,"2,299",91.80%
917.,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,"15,219",941,"16,160",91.79%
918.,美少女万华镜 -理与迷宫的少女-,"2,708",113,"2,821",91.79%
919.,Emberward,"1,452",45,"1,497",91.79%
920.,F1 2020,"37,519","2,579","40,098",91.78%
921.,MX Bikes,"20,983","1,354","22,337",91.78%
922.,Tangle Tower,"4,574",225,"4,799",91.78%
923.,Tree Simulator 2022,"1,183",32,"1,215",91.78%
924.,Karryn's Prison,"3,363",152,"3,515",91.77%
925.,Shogun Showdown,"3,234",144,"3,378",91.77%
926.,Vertigo 2,"2,092",79,"2,171",91.77%
927.,The Life and Suffering of Sir Brante — Chapter 1&2,"1,960",72,"2,032",91.77%
928.,My Brother Rabbit,"1,734",60,"1,794",91.77%
929.,Slayers X,"1,073",27,"1,100",91.77%
930.,Kukoro: Stream chat games,849,17,866,91.77%
931.,Linelith,681,10,691,91.77%
932.,Higurashi When They Cry Hou - Ch.6 Tsumihoroboshi,603,7,610,91.77%
933.,her tears were my light,493,3,496,91.77%
934.,Letters From a Rainy Day -Oceans and Lace-,823,16,839,91.76%
935.,I Frog-ot,574,6,580,91.76%
936.,Hyperdimension Neptunia Re;Birth1,"11,319",675,"11,994",91.75%
937.,Birth,"2,368",95,"2,463",91.75%
938.,"If On A Winter's Night, Four Travelers","2,081",79,"2,160",91.75%
939.,Toree 2,891,19,910,91.75%
940.,Pâquerette Down the Bunburrows,868,18,886,91.75%
941.,Bunny eShop,"9,493",550,"10,043",91.74%
942.,My Friendly Neighborhood,"2,366",95,"2,461",91.74%
943.,Slice & Dice,"1,472",47,"1,519",91.74%
944.,旅燕归航 Swallow Homing,700,11,711,91.74%
945.,Cleo - a pirate's tale,674,10,684,91.74%
946.,Sven Co-op,"28,583","1,928","30,511",91.73%
947.,The Lab,"5,852",309,"6,161",91.73%
948.,When The Past Was Around,"3,620",169,"3,789",91.73%
949.,Muv-Luv Alternative,"2,691",114,"2,805",91.73%
950.,Doom & Destiny,"2,254",89,"2,343",91.73%
951.,Kinkoi,"1,605",54,"1,659",91.73%
952.,Last Command,"1,847",67,"1,914",91.72%
953.,Perspective,837,17,854,91.72%
954.,DRAGON BALL Z: KAKAROT,"48,298","3,432","51,730",91.71%
955.,Leap of Faith,"1,879",69,"1,948",91.71%
956.,Penko Park,511,4,515,91.71%
957.,DEVIL BLADE REBOOT,511,4,515,91.71%
958.,Mass Effect 2 (2010),"14,634",916,"15,550",91.70%
959.,LEGO® Star Wars™ III: The Clone Wars™,"7,564",424,"7,988",91.70%
960.,DFHack - Dwarf Fortress Modding Engine,509,4,513,91.70%
961.,Lobotomy Corporation,"35,506","2,464","37,970",91.69%
962.,Five Nights at Freddy's 2,"20,494","1,342","21,836",91.69%
963.,Escape Simulator,"14,477",905,"15,382",91.69%
964.,Kingdom Rush Vengeance,"8,497",488,"8,985",91.69%
965.,Duck Detective: The Secret Salami,"3,376",156,"3,532",91.69%
966.,Notch - The Innocent LunA: Eclipsed SinnerS,"3,044",136,"3,180",91.69%
967.,The Coma 2: Vicious Sisters,"2,874",126,"3,000",91.69%
968.,Progressbar95,"2,446",101,"2,547",91.69%
969.,Love Delivery,"2,234",89,"2,323",91.69%
970.,inbento,"1,175",33,"1,208",91.69%
971.,沉睡的法则 Things as They Are,"1,051",27,"1,078",91.69%
972.,Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,830,17,847,91.69%
973.,Spec Ops: The Line,"50,400","3,614","54,014",91.68%
974.,Skul: The Hero Slayer,"48,896","3,500","52,396",91.68%
975.,Five Nights at Freddy's,"46,599","3,319","49,918",91.68%
976.,Mandagon,"5,330",279,"5,609",91.68%
977.,NEKOPARA Vol. 0,"16,347","1,044","17,391",91.67%
978.,Griftlands,"12,825",791,"13,616",91.67%
979.,Learn to Fly 3,"9,109",532,"9,641",91.67%
980.,Chronicon,"8,600",497,"9,097",91.67%
981.,BirdGut,"4,524",228,"4,752",91.67%
982.,TCG Card Shop Simulator: Prologue,"2,436",101,"2,537",91.67%
983.,News Tower,"1,545",52,"1,597",91.67%
984.,1000xRESIST,"1,311",40,"1,351",91.67%
985.,My Sticker Book,"1,210",35,"1,245",91.67%
986.,Touhou Artificial Dream in Arcadia,733,13,746,91.67%
987.,Library Of Ruina,"27,084","1,840","28,924",91.66%
988.,SYNTHETIK,"11,769",719,"12,488",91.66%
989.,Liftoff,"9,016",527,"9,543",91.66%
990.,The Good Time Garden,"2,428",101,"2,529",91.66%
991.,Unavowed,"2,164",86,"2,250",91.66%
992.,Cookard,"1,147",32,"1,179",91.66%
993.,Scalak,934,22,956,91.66%
994.,The Zachtronics Solitaire Collection,608,8,616,91.66%
995.,killer7,"2,853",126,"2,979",91.65%
996.,学生时代：序章,631,9,640,91.65%
997.,HIDDEN CATS: The last of cats,528,5,533,91.65%
998.,60 Seconds! Reatomized,"14,336",905,"15,241",91.64%
999.,Cat Goes Fishing,"11,744",719,"12,463",91.64%
1000.,GemCraft - Chasing Shadows,"3,801",184,"3,985",91.64%
