rank,name,positive ratings,negative ratings,total reviews,rating percentage
253.,Aokana - EXTRA2,"1,548",4,"1,552",94.30%
254.,Sekiro™: Shadows Die Twice,"286,145","14,075","300,220",94.29%
255.,NEKOPARA Vol. 4,"8,230",219,"8,449",94.29%
256.,Peggle Deluxe,"8,887",245,"9,132",94.28%
257.,Dying Light,"409,692","20,754","430,446",94.27%
258.,DOOM,"185,890","8,893","194,783",94.27%
259.,Tiny Bunny,"17,999",616,"18,615",94.27%
260.,BAD END THEATER,"7,243",185,"7,428",94.26%
261.,Your Only Move Is HUSTLE,"24,389",899,"25,288",94.25%
262.,The Test: Hypothesis Rising,"5,665",129,"5,794",94.25%
263.,Aokana - Four Rhythms Across the Blue,"5,160",112,"5,272",94.25%
264.,The Walking Dead: The Telltale Definitive Series,"22,041",797,"22,838",94.24%
265.,Samsara Room,"8,380",229,"8,609",94.24%
266.,Kindergarten 2,"4,434",88,"4,522",94.24%
267.,Resident Evil Village,"106,413","4,895","111,308",94.22%
268.,Handshakes,"2,375",26,"2,401",94.22%
269.,Unheard,"29,184","1,127","30,311",94.21%
270.,Bopl Battle,"12,291",388,"12,679",94.21%
271.,NEKOPARA Vol. 3,"11,474",354,"11,828",94.21%
272.,Marco & The Galaxy Dragon,"6,497",162,"6,659",94.21%
273.,Fallen Aces,"4,382",88,"4,470",94.21%
274.,Titanfall® 2,"224,404","11,078","235,482",94.20%
275.,Enter the Gungeon,"77,683","3,491","81,174",94.18%
276.,The Planet Crafter,"39,981","1,644","41,625",94.18%
277.,Milo and the Magpies,"2,864",41,"2,905",94.18%
278.,Monster Prom 3: Monster Roadtrip,"2,828",40,"2,868",94.18%
279.,Danganronpa 2: Goodbye Despair,"24,234",914,"25,148",94.17%
280.,Saints Row: The Third,"65,195","2,892","68,087",94.15%
281.,Shadow Tactics: Blades of the Shogun,"34,842","1,415","36,257",94.14%
282.,BABBDI,"5,147",118,"5,265",94.14%
283.,Teardown,"92,114","4,274","96,388",94.13%
284.,WITCH ON THE HOLY NIGHT,"3,469",62,"3,531",94.12%
285.,Outer Wilds,"69,017","3,111","72,128",94.11%
286.,Supreme Commander: Forged Alliance,"12,524",412,"12,936",94.11%
287.,Universe Sandbox,"24,020",923,"24,943",94.10%
288.,Beat Saber,"70,044","3,182","73,226",94.09%
289.,Your Turn To Die -Death Game By Majority- ,"1,985",19,"2,004",94.08%
290.,Smushi Come Home,"1,872",16,"1,888",94.08%
291.,DOOM + DOOM II,"21,047",794,"21,841",94.07%
292.,Scarlet Hollow,"2,288",28,"2,316",94.06%
293.,Felvidek,"2,147",24,"2,171",94.06%
294.,SOMA,"39,541","1,678","41,219",94.05%
295.,Ghost Trick: Phantom Detective,"4,672",106,"4,778",94.05%
296.,HuniePop,"29,266","1,190","30,456",94.03%
297.,Desperados III,"13,281",456,"13,737",94.03%
298.,Ultimate Chicken Horse,"42,684","1,856","44,540",94.01%
299.,Find Love or Die Trying,"11,516",382,"11,898",94.01%
300.,Baldi's Basics Plus,"5,646",144,"5,790",94.01%
301.,Dialtown: Phone Dating Sim,"1,691",13,"1,704",94.00%
302.,Vampires' Melody,"4,876",117,"4,993",93.99%
303.,Class of '09: The Re-Up,"3,286",61,"3,347",93.99%
304.,Yakuza 0,"66,029","3,058","69,087",93.98%
305.,Opus Magnum,"5,594",144,"5,738",93.98%
306.,异化之恶〇Abnormal Treatment,"3,748",77,"3,825",93.98%
307.,DoronkoWanko,"2,991",52,"3,043",93.97%
308.,Danganronpa: Trigger Happy Havoc,"27,255","1,117","28,372",93.96%
309.,Sucker for Love,"2,539",38,"2,577",93.96%
310.,Quake,"13,323",470,"13,793",93.95%
311.,Zup! F,"8,000",242,"8,242",93.95%
312.,Dungeon Munchies,"6,419",178,"6,597",93.95%
313.,Black Mesa,"111,927","5,533","117,460",93.94%
314.,FTL: Faster Than Light,"69,273","3,256","72,529",93.94%
315.,Hook,"8,563",267,"8,830",93.93%
316.,Alpaca Stacka,"5,421",141,"5,562",93.93%
317.,A Space for the Unbound,"4,933",122,"5,055",93.93%
318.,Minami Lane,"3,419",68,"3,487",93.93%
319.,Star Fetchers,"6,749",194,"6,943",93.91%
320.,Portal Reloaded,"19,529",763,"20,292",93.90%
321.,Tiny Rogues,"8,353",261,"8,614",93.90%
322.,Minishoot' Adventures,"3,472",71,"3,543",93.90%
323.,Kenshi,"84,262","4,101","88,363",93.89%
324.,ENDER MAGNOLIA: Bloom in the Mist,"3,951",88,"4,039",93.89%
325.,Portal Stories: Mel,"21,156",845,"22,001",93.88%
326.,DREDGE,"33,734","1,467","35,201",93.87%
327.,Cats Organized Neatly,"4,006",91,"4,097",93.87%
328.,The Elder Scrolls V: Skyrim,"300,001","16,290","316,291",93.86%
329.,What Remains of Edith Finch,"39,425","1,764","41,189",93.85%
330.,CarX Drift Racing Online,"75,687","3,683","79,370",93.84%
331.,Like a Dragon Gaiden: The Man Who Erased His Name,"8,413",269,"8,682",93.84%
332.,UNBEATABLE [white label],"7,842",245,"8,087",93.84%
333.,At Home Alone Final,"6,490",189,"6,679",93.84%
334.,Rabbit and Steel,"6,122",174,"6,296",93.84%
335.,Fox Hime Zero,"5,289",141,"5,430",93.84%
336.,Psychonauts 2,"10,940",380,"11,320",93.83%
337.,Spirit City: Lofi Sessions,"5,855",164,"6,019",93.83%
338.,Detroit: Become Human,"120,237","6,145","126,382",93.82%
339.,Streets of Rogue,"20,326",821,"21,147",93.82%
340.,Mullet Mad Jack,"4,602",116,"4,718",93.82%
341.,Hello Charlotte: Childhood's End,"2,249",33,"2,282",93.82%
342.,Cult of the Lamb,"83,048","4,110","87,158",93.81%
343.,Halls of Torment,"23,123",963,"24,086",93.80%
344.,Monster Train,"19,582",788,"20,370",93.80%
345.,Epiphyllum in Love,"2,102",29,"2,131",93.80%
346.,It Takes Two,"168,891","8,939","177,830",93.79%
347.,Bugsnax,"5,763",164,"5,927",93.78%
348.,Katawa Shoujo,"1,756",19,"1,775",93.78%
349.,Being a DIK,"10,645",375,"11,020",93.77%
350.,100 Asian Cats,"5,924",171,"6,095",93.77%
351.,REFLEXIA Prototype ver.,"5,898",170,"6,068",93.77%
352.,Snake Force,"5,273",145,"5,418",93.77%
353.,In Stars And Time,"3,583",80,"3,663",93.77%
354.,Kerbal Space Program,"117,261","6,071","123,332",93.76%
355.,Rivals of Aether,"32,573","1,450","34,023",93.76%
356.,Picayune Dreams,"1,911",24,"1,935",93.76%
357.,Besiege,"46,027","2,156","48,183",93.75%
358.,Nuclear Throne,"16,878",669,"17,547",93.75%
359.,Tinykin,"2,500",43,"2,543",93.75%
360.,The Void Rains Upon Her Heart,"1,372",9,"1,381",93.75%
361.,Ori and the Blind Forest: Definitive Edition,"61,217","2,977","64,194",93.74%
362.,The Planet Crafter: Prologue,"10,062",352,"10,414",93.74%
363.,Kingdom Rush Frontiers,"8,468",281,"8,749",93.74%
364.,提西探险社,"2,874",56,"2,930",93.74%
365.,Half-Life 2: Episode One,"30,146","1,336","31,482",93.73%
366.,Car Mechanic Simulator 2021,"25,011","1,075","26,086",93.73%
367.,The Elder Scrolls IV: Oblivion ,"44,707","2,105","46,812",93.72%
368.,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,"44,707","2,105","46,812",93.72%
369.,Sayonara Wild Hearts,"7,768",253,"8,021",93.72%
370.,Tiny Glade,"6,602",203,"6,805",93.72%
371.,Outpath: First Journey,"4,597",121,"4,718",93.72%
372.,Total War: MEDIEVAL II - Definitive Edition,"30,375","1,354","31,729",93.71%
373.,Mini Motorways,"19,089",784,"19,873",93.71%
374.,FlatOut 2,"16,569",662,"17,231",93.71%
375.,shapez,"11,813",438,"12,251",93.70%
376.,Batman: Arkham City™,"2,056",30,"2,086",93.70%
377.,A Tower Full of Cats,"1,303",8,"1,311",93.70%
378.,Resident Evil 7 Biohazard,"85,460","4,362","89,822",93.69%
379.,Paint the Town Red,"26,428","1,163","27,591",93.68%
380.,Crypt of the NecroDancer,"23,431","1,010","24,441",93.68%
