Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-08-27,Nope,2022,https://boxd.it/3aAfrd,3.5,,,2022-08-27
2022-09-19,Do Revenge,2022,https://boxd.it/3eROJh,1.5,,,2022-09-18
2022-09-19,Three Thousand Years of Longing,2022,https://boxd.it/3eTgOB,3,,,2022-09-18
2022-09-20,Barbarian,2022,https://boxd.it/3eYEgj,3,,,2022-09-19
2022-09-20,Bodies Bodies Bodies,2022,https://boxd.it/3eZdSn,2,,,2022-09-19
2022-09-20,Fall,2022,https://boxd.it/3eZVCt,2,,,2022-09-19
2022-09-21,47 Meters Down,2017,https://boxd.it/3fbAlb,,,,2022-09-20
2022-09-30,Speak No Evil,2022,https://boxd.it/3gT80L,1,,,2022-09-29
2022-09-30,Don't Worry Darling,2022,https://boxd.it/3gZDsN,2.5,,,2022-09-29
2022-10-02,A Taxi Driver,2017,https://boxd.it/3hgziX,4,,,2022-10-01
2022-10-02,Meet Cute,2022,https://boxd.it/3hgBNN,3.5,,,2022-10-01
2022-10-08,Luckiest Girl Alive,2022,https://boxd.it/3iEAll,0.5,,,2022-10-07
2022-10-14,Black Christmas,1974,https://boxd.it/3k0oh5,2.5,,,2022-10-13
2022-10-15,The 40 Year Old Virgin,2005,https://boxd.it/3k4Tzn,3,,,2022-10-14
2022-10-24,Pearl,2022,https://boxd.it/3lZRO9,3,,,2022-10-23
2022-11-17,Unbreakable,2000,https://boxd.it/3rfTLN,2.5,,,2022-11-16
2022-11-17,Knives Out,2019,https://boxd.it/3rfTWV,2.5,,,2022-11-16
2022-11-17,Where the Crawdads Sing,2022,https://boxd.it/3rfUf9,2.5,,,2022-11-16
2022-11-18,Falling for Christmas,2022,https://boxd.it/3rmnZd,1,,,2022-11-17
2022-11-20,Spartacus,1960,https://boxd.it/3rQhnx,,,,2022-11-19
2022-11-22,The Menu,2022,https://boxd.it/3senv1,2,,,2022-11-21
2022-11-22,Disenchanted,2022,https://boxd.it/3sfJ7x,2,,,2022-11-21
2022-12-12,Troll,2022,https://boxd.it/3wrfwx,1.5,,,2022-12-11
2022-12-14,Bones and All,2022,https://boxd.it/3wWLH5,3,,,2022-12-13
2022-12-28,Glass Onion,2022,https://boxd.it/3AZCh5,2,,,2022-12-27
2023-01-15,Inside,2007,https://boxd.it/3HQOtx,2.5,,,2023-01-14
2023-01-15,Hostel,2005,https://boxd.it/3HQOHf,4,,,2023-01-14
2023-01-15,M3GAN,2022,https://boxd.it/3HQS1n,2.5,,,2023-01-14
2023-01-16,The Northman,2022,https://boxd.it/3I4bOf,,,,2023-01-15
2023-02-06,Puss in Boots: The Last Wish,2022,https://boxd.it/3OK363,3,,,2023-02-05
2023-02-11,Knock at the Cabin,2023,https://boxd.it/3Qbm49,2,,,2023-02-10
2023-02-20,Infinity Pool,2023,https://boxd.it/3SJrGj,2,,,2023-02-19
2023-03-14,Missing,2023,https://boxd.it/3YLdZJ,3,,,2023-03-13
2023-03-18,The Happening,2008,https://boxd.it/3ZMahZ,2,,,2023-03-17
2023-03-21,Cocaine Bear,2023,https://boxd.it/40MWQ3,2,,,2023-03-20
2023-04-17,BEEF,2023,https://boxd.it/48bsfp,4,,,2023-04-16
2023-05-09,My Life as a Zucchini,2016,https://boxd.it/4e6SPx,5,,,2023-05-08
2023-05-21,The Visit,2015,https://boxd.it/4gV3Ot,3.5,,,2023-05-21
2023-05-29,Blue Velvet,1986,https://boxd.it/4iNTCL,5,,,2023-05-28
2023-05-29,Pink Flamingos,1972,https://boxd.it/4iPKh9,5,,,2023-05-28
2023-06-06,The Ice Storm,1997,https://boxd.it/4kTZJj,2,,,2023-06-04
2023-06-06,Signs,2002,https://boxd.it/4kTYRB,,Yes,,2023-06-05
2023-06-06,Cats on Park Avenue,1989,https://boxd.it/4kU13z,5,,,2023-06-05
