Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-07-31,Two Shots Fired,2014,https://boxd.it/1haopP,4,,,2020-07-30
2020-08-11,Ritual,2000,https://boxd.it/1imvCf,5,,,2020-08-10
2020-08-12,Trust,1990,https://boxd.it/1iqXLx,4,,,2020-08-10
2020-08-12,Battle Royale,2000,https://boxd.it/1iqX4N,4,,,2020-08-11
2020-08-14,Terrorizers,1986,https://boxd.it/1iGlDR,3.5,Yes,,2020-08-13
2020-08-18,Host,2020,https://boxd.it/1j9SRF,3.5,,,2020-08-18
2020-08-18,The Autopsy of Jane Doe,2016,https://boxd.it/1j9STh,1,,,2020-08-18
2020-08-20,Speed,1994,https://boxd.it/1jhIsB,4,,,2020-08-19
2020-08-27,Beanpole,2019,https://boxd.it/1jY3cD,3.5,,,2020-08-26
2020-08-27,General Idi Amin Dada,1974,https://boxd.it/1k08EL,,,,2020-08-26
2020-08-28,Who Killed Captain Alex?,2010,https://boxd.it/1k9Kdh,5,,,2020-08-28
2020-08-30,Cure,1997,https://boxd.it/1ko1ll,4,,,2020-08-30
2020-09-02,A Brighter Summer Day,1991,https://boxd.it/1kHAOP,3.5,,,2020-09-02
2020-09-09,Mulan,2020,https://boxd.it/1lsXDJ,2,,,2020-09-07
2020-09-19,Heavy Trip,2018,https://boxd.it/1mrCfD,5,,,2020-09-18
2020-09-19,Romantics Anonymous,2010,https://boxd.it/1mt4Nb,5,,,2020-09-19
2020-09-19,The Secret Life of Walter Mitty,2013,https://boxd.it/1mtuNB,4,,,2020-09-19
2020-09-20,The Devil All the Time,2020,https://boxd.it/1mzt01,1.5,,,2020-09-20
2020-09-22,In My Room,2020,https://boxd.it/1mN7pL,4,,,2020-09-21
2020-09-22,Jess + Moss,2011,https://boxd.it/1mN8bv,4,,,2020-09-22
2020-09-22,Matthias & Maxime,2019,https://boxd.it/1mNR3h,4,,,2020-09-22
2020-09-23,The Great Hack,2019,https://boxd.it/1mS3BN,3,,,2020-09-22
2020-10-13,The Haunting of Bly Manor,2020,https://boxd.it/1oZPVD,3,,,2020-10-13
2020-10-14,Two/One,2019,https://boxd.it/1p4Ucj,4,,,2020-10-13
2020-10-14,Burn Burn Burn,2015,https://boxd.it/1p5sZz,4,,,2020-10-14
2020-10-16,3 Idiots,2009,https://boxd.it/1phlR3,5,,,2020-10-16
2020-11-01,Deep Red,1975,https://boxd.it/1r8d1X,4,,,2020-11-01
2020-11-03,Tenebre,1982,https://boxd.it/1ro5az,3,,,2020-11-02
2020-11-04,Days,2020,https://boxd.it/1ruP8L,5,,,2020-11-04
2020-11-06,Days,2020,https://boxd.it/1rBZWl,5,Yes,,2020-11-05
2020-11-06,Climax,2018,https://boxd.it/1rG4v3,2.5,,,2020-11-06
2020-11-22,Dreams,1990,https://boxd.it/1teCmV,3.5,,,2020-11-21
2020-11-22,Looking for an Angel,1999,https://boxd.it/1tfYCt,3,,,2020-11-22
2020-11-26,Beautiful New Bay Area Project,2013,https://boxd.it/1tHqcH,3,,,2020-11-26
2020-12-01,Weathering with You,2019,https://boxd.it/1uj66b,2.5,,,2020-11-26
2020-11-29,Swallow,2019,https://boxd.it/1u2aZ1,3,,,2020-11-28
2020-11-29,Personal Shopper,2016,https://boxd.it/1u3zJp,2,,,2020-11-29
2020-11-30,Creed,2015,https://boxd.it/1u7Y2X,4,,,2020-11-29
2020-11-30,Hillbilly Elegy,2020,https://boxd.it/1ua7mB,3,,,2020-11-29
2020-11-30,His House,2020,https://boxd.it/1uaV2V,3,,,2020-11-29
2020-12-01,Wild Zero,1999,https://boxd.it/1uiL7R,5,,,2020-12-01
2020-12-01,Night of the Living Dead,1968,https://boxd.it/1uiYvn,5,,,2020-12-01
2020-12-01,Other Worlds,1999,https://boxd.it/1uja3b,,,,2020-12-01
2020-12-01,I Want to Eat Your Pancreas,2018,https://boxd.it/1ujpcd,4,,,2020-12-01
2020-12-02,Night on Earth,1991,https://boxd.it/1unSs3,4,,,2020-12-01
2020-12-02,Sweet Movie,1974,https://boxd.it/1upuyZ,5,,,2020-12-02
2020-12-02,Mortuary Blues,1990,https://boxd.it/1upWgJ,4,,,2020-12-02
2020-12-02,One Cut of the Dead,2017,https://boxd.it/1uqbyj,5,,,2020-12-02
2020-12-03,Kikujiro,1999,https://boxd.it/1utEUp,4,,,2020-12-02
2020-12-04,And Your Bird Can Sing,2018,https://boxd.it/1uAp2r,4,,,2020-12-04
2020-12-06,Entire Days Together,2019,https://boxd.it/1uQCvj,,,,2020-12-06
2020-12-06,Antonio One Two Three,2017,https://boxd.it/1uRfS7,2,,,2020-12-06
2020-12-16,Mank,2020,https://boxd.it/1vV7mz,4,,,2020-12-15
2021-01-11,Gintama: The Movie,2010,https://boxd.it/1A1DHn,3,,,2021-01-01
2021-02-24,Massacre County,2015,https://boxd.it/1GrZJB,,,,2021-01-01
2021-02-24,The Vault,2017,https://boxd.it/1Gs0gv,,,,2021-01-01
2021-03-19,Soul,2020,https://boxd.it/1JtcqB,,,,2021-01-01
